name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
N.U.T.S. field trip,"Looking for a physical and mental challenge?  Sign up to visit N.U.T.S. for an obstacle course extravaganza!!  This is an off-site trip to an obstacle course gym; bus to leave at 9:30am and return at 2pm  Permission Form will be sent to your school gmail account; print, sign and return to it room 105 ASAP. Cost $20",20,,1,"1,2","Marybeth, Gail, Taylor Myllari, Nick Graham",,,Offsite,40,0
Cultural Showcase Planning Session,"We are planning our second annual Cultural Showcase on Discovery Day!  Students who are interested in celebrating the many cultures that are part of our school community are welcome to help out.  Last year, we showcased traditional dress, foods, and art forms.  International Certificate Program students: this option is a great complement to your certificate components.",0,,1,,Sarah Heagle/BradenH,,,213,30,0
Cupcake Decorating,Release your inner Cake Boss!  In this session you will learn how to create fun and yummy cupcakes using different cake decorating techniques.  Learn somethng new and have some fun decorating!   Cost: $5,5,,2,,Victoria Oliver,,,117,20,0
Mindfulness,"Life causing you Stress... Feeling like your being overwhelmed?  It\'s time to take control and become EMPOWERED!  This workshop will include a “Sound bath” with Crystal Singing bowls and other instruments to facilitate a deep experience of relaxation.  Expect to lay down, let go, relax as you experience simple yet powerful mindful meditations that you can use daily for your own empowerment.",0,,2,,CDR,,Jesse Buck,Library,25,0
Yoga,"Looking to relax and find inner peace?  Join Ms. Given for an hour of gentle stretching and yoga. Wear comfortable clothes and bring a water bottle.  Yoga mats are available, but feel free to bring your own.",0,,1,,Alexis Given,,,Dance Studio,20,0
Yoga,"Looking to relax and find inner peace?  Join Ms. Given for an hour of gentle stretching and yoga. Wear comfortable clothes and bring a water bottle.  Yoga mats are available, but feel free to bring your own.",0,,2,,Alexis Given,,,Dance Studio,20,0
String Art Workshop,"If you like making art and working with your hands, this workshop is for you! In this workshop you will create a finished artwork using string, wood and nails. You will be creating a silhouette pattern on a stained wood panel using your choice of coloured string. At the end of the workshop, you will be able to take your artwork home to display or hang on your walls! This workshop is for all skill levels.  Cost: $11",11,,1,,Amber Arcii,,,143,20,0
String Art Workshop,"If you like making art and working with your hands, this workshop is for you! In this workshop you will create a finished artwork using string, wood and nails. You will be creating a silhouette pattern on a stained wood panel using your choice of coloured string. At the end of the workshop, you will be able to take your artwork home to display or hang on your walls! This workshop is for all skill levels.  Cost: $11",11,,2,,Amber Arcii,,,143,20,0
Climbing Wall,"Always wanted to try out the Climbing Wall in our small gym?  Now\'s your chance! Mr. Ashton will guide you ""through the ropes"" as you learn to climb!   Permission form required...check your school email account and return the form to Room 105.",0,,1,,Andrew Ashton & John Cutts,,,Small Gym,15,0
Climbing Wall,"Always wanted to try out the Climbing Wall in our small gym?  Now\'s your chance! Mr. Ashton will guide you ""through the ropes"" as you learn to climb!   Permission form required...check your school email account and return the form to Room 105.",0,,2,,Andrew Ashton & John Cutts,,,Small Gym,15,0
Journaling & Bookmaking,"Make your own traveler\'s journal style inserts! Create a custom agenda using washi tape and brush pens, and the finest paper around; design your own personal travel journal, diary, inspiriation book, artist collage book...the possibilities are endless! If you want to also create your book cover, bring recycled leather or denim from home and we\'ll show you how to put it all together! Cost $7",7,,2,,Shauna Goodson/Amie Lee,,,202,15,0
Fire Fighting - Specialty,Want to know if you have what it takes to be a Firefighter?  Want to know the secrets of the profession?  Meet Ottawa Fire Fighter Sean Armstrong to get the inside scoop of working at a downtown station specializing in ice and water rescue.,0,,1,,Kelly Anderson,,Sean Armstrong,214,25,0
Fire Fighting - Specialty,Want to know if you have what it takes to be a Firefighter?  Want to know the secrets of the profession?  Meet Ottawa Fire Fighter Sean Armstrong to get the inside scoop of working at a downtown station specializing in ice and water rescue.,0,,2,,Kelly Anderson,,Sean Armstrong,214,25,0
Inuit Games,Inuit need to be strong and agile to live on the land. Come and learn the fun and challenging games that Inuit play to ensure their survival!,0,,2,,Tracie,,Contact:  Ruth Kadlutsiak (Ottawa Inuit Children\'s Centre,1/2 gym,25,0
Inuit Art Forms,Get introduced to Inuit culture with this interactive presentation on Inuit Art Forms! Participants will learn about Traditional Inuit Throatsinging and Drumming and will get a chance to try it too!,0,,1,,Tracie,,Contact:  Ruth Kadlutsiak (Ottawa Inuit Children\'s Centre,146,25,0
Opioid Use in our Community,"This presentation will focus on the types of drugs that are being used in our community and resources that are available for students who have concerns or questions about drug use. Students will also learn about harm reduction work in their community, and how to reduce the risk of harm for the those who are using.  This session will be hosted by our Rideauwood counsellor.",0,,1,,Tracie,,"Elissa Gazel, Rideauwood counsellor",221,25,0
Opioid Use in our Community,"This presentation will focus on the types of drugs that are being used in our community and resources that are available for students who have concerns or questions about drug use. Students will also learn about harm reduction work in their community, and how to reduce the risk of harm for the those who are using.  This session will be hosted by our Rideauwood counsellor.",0,,2,,Tracie,,"Elissa Gazel, Rideauwood counsellor",221,25,0
CHEO Nurse,"Have you ever wondered what nurses REALLY do?  Come find out if you have what it takes to become a nurse!  Join the discussion with a Registered Nurse from the CHEO Emergency Department.   She will explain the different types of nurses that exist in Ontario and the education related to each one, the various areas that nurses can be employed in and all the fun (and sometimes not so fun) things that nurses do.   And don\'t forget...although nursing may sometimes appear to be a female dominated profession there are some pretty talented nurses that also happen to be men out there!",0,,1,,Tracie/Jacqueline Payne,,Natalie Castonguay,215,25,0
CHEO Nurse,"Have you ever wondered what nurses REALLY do?  Come find out if you have what it takes to become a nurse!  Join the discussion with a Registered Nurse from the CHEO Emergency Department.   She will explain the different types of nurses that exist in Ontario and the education related to each one, the various areas that nurses can be employed in and all the fun (and sometimes not so fun) things that nurses do.   And don\'t forget...although nursing may sometimes appear to be a female dominated profession there are some pretty talented nurses that also happen to be men out there!",0,,2,,Tracie/Jacqueline Payne,,Natalie Castonguay,215,25,0
California Rolls,If you LOVE California rolls you have to sign up for this session. Learn how to make your own delicious California rolls with Mrs. Gilby and Mrs. Thompson. The perfect healthy snack!  Cost $5.00,5,,1,,Deb Tompson and Kara Gilby,,,116,20,0
Reverse Engineer & Security Software,"What does it mean to be in the Information Security field these days? From vulnerability discovery to malware analysis for devices ranging from mobile phones to autonomous vehicle, there is a wide range of ways you can be part of it. We\'ll talk about some vulnerabilities out in the wild, and even create our own vulnerability as an example.",0,,1,,Tracie/Jacqueline Payne,,Bevan Watkiss,228,25,0
Reverse Engineer & Security Software,"What does it mean to be in the Information Security field these days? From vulnerability discovery to malware analysis for devices ranging from mobile phones to autonomous vehicle, there is a wide range of ways you can be part of it. We\'ll talk about some vulnerabilities out in the wild, and even create our own vulnerability as an example.",0,,2,,Tracie/Jacqueline Payne,,Bevan Watkiss,228,25,0
Interior Designer,"We will design your own dream room story boards using visual images, paint samples, fabric swatches.
Come away with a clear idea of what it is like to be an interior designer not on TV! Tap into your creative side while learning about the business of design.",0,,2,,Gail,,Tracey Woodman,112,25,0
Entrepreneurship & Pastry Arts: Gingerbread House Construction,"Local artist, author and cake decorator extraordinaire, Catherine Beddall will demonstrate the techniques for construction of a gingerbread house. Catherine is a professor of Pastry Arts at Algonquin College, her cake business “Catherine’s Cakery” is a going concern and recently she authored and photographed her first book, The Magic of GINGERBREAD. Come watch a master at work! Learn all about how to start your own business and author your first book. Not to mention some killer gingerbread building techniques!!!",0,,1,,Sue ,,Catherine Beddall,119,20,0
Entrepreneurship & Pastry Arts: Gingerbread House Construction,"Local artist, author and cake decorator extraordinaire, Catherine Beddall will demonstrate the techniques for construction of a gingerbread house. Catherine is a professor of Pastry Arts at Algonquin College, her cake business “Catherine’s Cakery” is a going concern and recently she authored and photographed her first book, The Magic of GINGERBREAD. Come watch a master at work! Learn all about how to start your own business and author your first book. Not to mention some killer gingerbread building techniques!!!",0,,2,,Sue ,,Catherine Beddall,119,20,0
Civil Litigation Lawyer,Wondering what it takes to become a lawyer?  Join the discussion to discover more about the journey required to pass the Bar exam and start practicing law.  Jacquelynne is a local lawyer specializing in family law.  She will share her experiences and answer questions related to her education path and career in law.,0,,1,,CDR,,Jacquelynne Clark,230,25,0
Civil Litigation Lawyer,Wondering what it takes to become a lawyer?  Join the discussion to discover more about the journey required to pass the Bar exam and start practicing law.  Jacquelynne is a local lawyer specializing in family law.  She will share her experiences and answer questions related to her education path and career in law.,0,,2,,CDR,,Jacquelynne Clark,230,25,0
Escape Room Field Trip,"Do you enjoy solving puzzles, finding clues and working with others?  Then join us on a fieldtrip to Locksmith, an escape room situated in Kanata. Our goal will be to work together in order to beat the clock and find the key to escape. Bus will leave at 9:55am and return at 12:45pm. Permission Form will be sent to your school gmail account; print, sign and return to it room 105 ASAP.  Cost $25 ",25,,1,"1,2",Lise/JenS,,,Offsite,30,0
Carpenters Union Field Trip,"The  Local Brotherhood of Carpenters and Joiners of America have just opened up a new training facility in Kanata.  Join us for a tour of the new building, an activity in the shop plus a chance to ask questions of a trained carpenter and drywaller.  Pizza lunch included!!  Bus will leave at 9:30am and return at 12:30pm.  Steel toes boots are required and bring along a hard hat if you can.  Permission Form will be sent to your school gmail account; print, sign and return to it room 105 ASAP.",0,,1,"1,2",Mark Elliott,,,Offsite,20,0
Badminton,Spend an hour in the gym playing badminton!  Singles or doubles...the choice is yours!  Proper clothing and footwear required.  Bring a water bottle too!,0,,1,,McDougall/RClare,,,1/2 gym,20,0
Badminton,Spend an hour in the gym playing badminton!  Singles or doubles...the choice is yours!  Proper clothing and footwear required.  Bring a water bottle too!,0,,2,,McDougall/RClare,,,1/2 gym,20,0
Basketball,Looking to work up a sweat?  Come on out and play some pick-up basketball in the gym!  Proper clothing and footwear required.  Bring a water bottle too!,0,,1,,McDougall/RClare,,,1/2 gym,20,0
Puppy Love!,Love puppies and dogs? Then this session is for you! Listen to the owners of Kortar Kennels talk about their experiences with rescue and therapy dogs. There may even be a dog or two to snuggle with!,0,,1,,Kelly,,Michael Pinfold & Carol Broadhurst Hannah Christmas,115,25,0
Puppy Love!,Love puppies and dogs? Then this session is for you! Listen to the owners of Kortar Kennels talk about their experiences with rescue and therapy dogs. There may even be a dog or two to snuggle with!,0,,2,,Kelly,,Michael Pinfold & Carol Broadhurst Hannah Christmas,115,25,0
