name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
Carleton University,"Representatives from Carleton University will share insight into programs of study, campus life and answer questions that you may have about transitioning to post-secondary education.",0,,1,,Nerina Doyle/Tracie Langford,,Marilla Bender (Trevor Lewis),0,30,2
Carleton University,"Representatives from Carleton University will share insight into programs of study, campus life and answer questions that you may have about transitioning to post-secondary education.",0,,2,,Nerina Doyle/Tracie Langford,,Marilla Bender (Trevor Lewis),0,30,2
Carleton University,"Representatives from Carleton University will share insight into programs of study, campus life and answer questions that you may have about transitioning to post-secondary education.",0,,3,,Nerina Doyle/Tracie Langford,,Marilla Bender (Trevor Lewis),0,30,2
Skills Canada,"“Skills Work!® What’s Out There?” 
This interactive PowerPoint presentation focuses on the career opportunities that exist in the skilled trades and technologies. Topics that are covered include: apprenticeship training, profiling careers in the skilled trades, trends in the workplace, and how students can get involved now and in years to come in apprenticeship training. The presentation lasts for approximately 60 minutes and questions are encouraged during and after the presentation.",0,,1,,Nerina Doyle/Tracie Langford,,Dan Cardinal,0,30,2
Skills Canada,"“Skills Work!® What’s Out There?” 
This interactive PowerPoint presentation focuses on the career opportunities that exist in the skilled trades and technologies. Topics that are covered include: apprenticeship training, profiling careers in the skilled trades, trends in the workplace, and how students can get involved now and in years to come in apprenticeship training. The presentation lasts for approximately 60 minutes and questions are encouraged during and after the presentation.",0,,2,,Nerina Doyle/Tracie Langford,,Dan Cardinal,0,30,2
Skills Canada,"“Skills Work!® What’s Out There?” 
This interactive PowerPoint presentation focuses on the career opportunities that exist in the skilled trades and technologies. Topics that are covered include: apprenticeship training, profiling careers in the skilled trades, trends in the workplace, and how students can get involved now and in years to come in apprenticeship training. The presentation lasts for approximately 60 minutes and questions are encouraged during and after the presentation.",0,,3,,Nerina Doyle/Tracie Langford,,Dan Cardinal,0,30,2
Animal Related Careers (Humane Society),"Do you love animals? The Ottawa Humane Society will be here with a companion animal to speak about animal welfare, volunteer opportunities and careers related to animals.",0,,1,,Tracie Langford,,Stephanie Millar,0,30,2
Animal Related Careers (Humane Society),"Do you love animals? The Ottawa Humane Society will be here with a companion animal to speak about animal welfare, volunteer opportunities and careers related to animals.",0,,2,,Tracie Langford,,Stephanie Millar,0,30,2
Animal Related Careers (Humane Society),"Do you love animals? The Ottawa Humane Society will be here with a companion animal to speak about animal welfare, volunteer opportunities and careers related to animals.",0,,3,,Tracie Langford,,Stephanie Millar,0,30,2
Pitch Perfect Acapella,"Have you ever wondered what it takes to put together an acapella mash-up like the songs featured in Pitch Perfect, The Sing Off or Glee? Are you mesmerized by the vocal percussionist in Pentatonix and wonder if you could break out your inner beat-boxer? If so, this might be the workshop for you! Participants will get to work with an award winning acapella director and will collaborate to create their own versions of songs that interest them. For more information, please see Mrs. Britton, or email her at jennifer.britton@ocdsb.ca. Double Session",0,,1,,0,,Jen Britton,Library,30,2
Pitch Perfect Acapella,"Have you ever wondered what it takes to put together an acapella mash-up like the songs featured in Pitch Perfect, The Sing Off or Glee? Are you mesmerized by the vocal percussionist in Pentatonix and wonder if you could break out your inner beat-boxer? If so, this might be the workshop for you! Participants will get to work with an award winning acapella director and will collaborate to create their own versions of songs that interest them. For more information, please see Mrs. Britton, or email her at jennifer.britton@ocdsb.ca. Double Session",0,,2,,0,,Jen Britton,Library,30,2
Interior Design,0,0,,1,,Jen Stewart,,Tracey Woodman,0,30,2
Interior Design,0,0,,2,,Jen Stewart,,Tracey Woodman,0,30,2
Interior Design,0,0,,3,,Jen Stewart,,Tracey Woodman,0,30,2
Cupcake Decorating,"Release your inner Cake Boss! In this session you will create four different cupcake flowers using different cake decorating techniques. Learn some new piping skills while building a beautiful Rose, Sunflower, Hydrangea and Chrysanthemum cupcake.",0,,1,,0,,Sue McConnell,Room 117,20,2
Cupcake Decorating,"Release your inner Cake Boss! In this session you will create four different cupcake flowers using different cake decorating techniques. Learn some new piping skills while building a beautiful Rose, Sunflower, Hydrangea and Chrysanthemum cupcake.",0,,2,,0,,Sue McConnell,Room 117,20,2
Total Conditioning Barre Class,This is a fitness/conditioning class that uses the ballet barre and free weights to complete a total body workout. It does not require any dance training. You require comfortable workout clothes and bare feet. This session is available to female students only.,0,,1,,0,,Gail Pindar,Dance Studio,14,2
